date,time,senderName,areaDesc,headline,event,category,description,instruction,msgType,urgency,severity,scope,sender,cogId,id
2024-09-23,19:07:57,"200575,FDLE Alerts,FL Dept of Law Enforcement",FLORIDA-ALL,Florida AMBER Alert Activation for Darryl Folmar III,Child Abduction Emergency,,"A Florida AMBER Alert has been issued for Darryl Folmar III, a black male, 7 months old, 2 feet tall, 15 pounds, black hair and brown eyes, last seen in the area of the 1400th block of East Clio Drive in Pensacola, Florida, who was last seen wearing red Cocomelon pajamas and a diaper. The child may be in the company of Darryl Folmar Jr., a black male, 5 feet 11 inches tall, 185 pounds, black hair and brown eyes, who was last seen wearing a black shirt, khaki shorts, and black tennis shoes. Darryl Jr. has a short fade and may have facial hair. He has a Joker tattoo on his chest and a tattoo of the name ""Darryl"" on his right ankle. They may be traveling in a 2000, black BMW 323i, FL tag number 16EJUN. The vehicle has damage on the front passenger side bumper.  If located, DO NOT APPROACH. Contact law enforcement immediately.",If you have any information on the whereabouts of this child please contact the Escambia County Sheriff's Office at 850-436-9620 or 911. #FLAMBER.,Alert,Immediate,Extreme,Public,200575_FDLE_Alerts_FL_Dept_of_Law_Enforcement,200575,55e73a06-0039-4d35-8d20-2c82d1332c50
2024-09-23,19:15:51,IDMadisonCountySheriffsOffice,"Rice County,Steele County",NA,Local Area Emergency,,,NA,Alert,Immediate,Severe,Public,IDMadisonCountySheriffsOffice,200802,a703f2be-01d3-4a16-b906-60b7d4c78768
2024-09-24,21:00:47,FL Dept of Law Enforcement,Area around Builders First Source,Florida AMBER Alert Activation for Darryl Folmar III,Child Abduction Emergency,,This is a cancellation to the Florida AMBER Alert that was activated on 09/23/2024 for DARRYL FOLMAR III. The child is safe.,"If you would like further information, please call the Escambia County Sheriff's Office at 850-436-9620.",Cancel,Immediate,Extreme,Public,FL_Dept_of_Law_Enforcement,200575,fc73879b-067a-45b5-b7ee-782d30d0c5ee
2024-09-24,21:38:54,IDMadisonCountySheriffsOffice,"Jackson County, Georgia",NA,Local Area Emergency,,,NA,Alert,Immediate,Severe,Public,IDMadisonCountySheriffsOffice,200802,a4f4318d-2ce4-4bd4-bca9-5a3f78173454
2024-09-24,21:39:14,NA,"Bexar, TX,Brewster, TX,El Paso, TX,Harris, TX,Hidalgo, TX,Tarrant, TX,Travis, TX,Val Verde, TX,Webb, TX",NA,NA,,NA,NA,Cancel,NA,NA,Public,IDMadisonCountySheriffsOffice,200802,932f1e81-abd5-4566-8e9f-b21f4917d69f
2024-09-24,22:06:47,GA Jackson County,"Durham, NC",NA,Law Enforcement Warning,,NA,NA,Alert,Immediate,Extreme,Public,bbullock@jacksoncountygov.com,201878,01346794-7dbe-4257-a649-0605ff20eaf0
2024-09-24,22:22:25,GA Jackson County,All Pennsylvania,NA,Law Enforcement Warning,,NA,NA,Update,Immediate,Extreme,Public,bbullock@jacksoncountygov.com,201878,753c2f91-fe19-412e-8421-9c46743f1cab
2024-09-24,08:10:00,NWS Raleigh NC,Cass MN,Flash Flood Warning issued September 24 at 8:10AM EDT until September 24 at 11:15AM EDT by NWS Raleigh NC,Flash Flood Warning,,"FFWRAH

The National Weather Service in Raleigh has issued a

* Flash Flood Warning for...
Southwestern Durham County in central North Carolina...

* Until 1115 AM EDT.

* At 810 AM EDT, Doppler radar indicated thunderstorms producing
heavy rain across the warned area. Between 1 and 2 inches of rain
have fallen. Additional rainfall amounts of 1 to 2 inches are
possible in the warned area. Flash flooding is ongoing or expected
to begin shortly.

HAZARD...Life threatening flash flooding. Thunderstorms
producing flash flooding.

SOURCE...Radar.

IMPACT...Life threatening flash flooding of creeks and streams,
urban areas, highways, streets and underpasses.

* Some locations that will experience flash flooding include...
Durham, Chapel Hill, Bethesda, Parkwood, Research Triangle, Eno
River State Park and Jordan Lake.
","Turn around, don't drown when encountering flooded roads. Most flood
deaths occur in vehicles.",Alert,Immediate,Severe,Public,w-nws.webmaster@noaa.gov,200032,8781973d-6316-4cd5-9042-3bf1fcbb7c2b
2024-09-24,12:59:21,"201422,GA Camden County Emergency Management Agency,NPS CI","Clark, IN; Jefferson, KY; Oldham, KY",Civil Emergency Message,Civil Emergency Message,,NA,NA,Alert,Immediate,Severe,Public,camdenema@camdencountyga.gov,201422,09ce41b2-204c-4291-89cd-99a27c7176eb
2024-09-24,13:22:00,NWS Chicago IL,Washoe County,Tornado Warning issued September 24 at 12:22PM CDT until September 24 at 12:45PM CDT by NWS Chicago IL,Tornado Warning,,"TORLOT

The National Weather Service in Chicago has issued a

* Tornado Warning for...
Southern Cook County in northeastern Illinois...

* Until 1245 PM CDT.

* At 1222 PM CDT, a severe thunderstorm capable of producing a
tornado was located over Matteson, moving east at 10 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
Park Forest, Homewood, Matteson, Country Club Hills, Hazel Crest,
Richton Park, Flossmoor, and Olympia Fields around 1230 PM CDT.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,062efecf-fbee-4922-ab98-310b604cd8b6
2024-09-24,13:51:35,OHHamiltonCounty,Washington (STATE WIDE),NA,Shelter in Place,,"Alert HC: Per Whitewater Fire - DANGEROUS chemical leak near State Route 128. IMMEDIATELY GO INDOORS and stay inside until further notice. Close and seal off doors & windows, close fireplace dampers, and turn off heat. Stay tuned to local media for more information.",NA,Alert,Immediate,Extreme,Public,OHHamiltonCounty,200147,4e4268cb-7a02-4293-a3d4-bb85c935c615
2024-09-24,13:52:00,NWS Louisville KY,"Clark, IN; Henry, KY; Oldham, KY; Trimble, KY",Tornado Warning issued September 24 at 1:52PM EDT until September 24 at 2:15PM EDT by NWS Louisville KY,Tornado Warning,,"TORLMK

The National Weather Service in Louisville has issued a

* Tornado Warning for...
Southeastern Clark County in south central Indiana...
Central Oldham County in central Kentucky...
Northern Jefferson County in central Kentucky...

* Until 215 PM EDT.

* At 152 PM EDT, a severe thunderstorm capable of producing a tornado
was located near Prospect, moving east at 30 mph.

HAZARD...Tornado and quarter size hail.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
Prospect around 155 PM EDT.

Other locations impacted by this tornadic thunderstorm include
Westport, Oldham, Greenhaven, Demplytown, Buckner, Russell Corner,
Prather, Harmony Village, Skylight, and Utica.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,539ad770-a1ff-4a8a-a7a4-a5556b287a87
2024-09-24,14:07:00,NWS Louisville KY,Indian River,Tornado Warning issued September 24 at 2:07PM EDT until September 24 at 2:30PM EDT by NWS Louisville KY,Tornado Warning,,"TORLMK

The National Weather Service in Louisville has issued a

* Tornado Warning for...
East central Clark County in south central Indiana...
Central Oldham County in central Kentucky...
Southern Trimble County in central Kentucky...
Western Henry County in central Kentucky...

* Until 230 PM EDT.

* At 206 PM EDT, a severe thunderstorm capable of producing a tornado
was located near La Grange, moving east at 35 mph.

HAZARD...Tornado and quarter size hail.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
La Grange around 210 PM EDT.

Other locations impacted by this tornadic thunderstorm include
Westport, Oldham, Pendleton, Campbellsburg, Greenhaven, Demplytown,
Buckner, Russell Corner, Skylight, and Sulphur.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,3b9044d4-f0a3-4eb9-b270-5fda54c9d00c
2024-09-24,14:13:47,OHHamiltonCounty,"Lucas, OH; Ottawa, OH; Sandusky, OH; Wood, OH",NA,Evacuation Immediate,,,NA,Alert,Immediate,Extreme,Public,OHHamiltonCounty,200147,8dcdfa3c-ed24-4a03-b713-6f01ff276f88
2024-09-24,14:13:58,NA,"Lagrange, IN; Noble, IN",NA,NA,,NA,NA,Cancel,NA,NA,Public,OHHamiltonCounty,200147,9700ece5-4c15-4702-9939-258f7c826f42
2024-09-24,14:26:24,OHHamiltonCounty,"Preble, OH",NA,Evacuation Immediate,,,NA,Alert,Immediate,Extreme,Public,OHHamiltonCounty,200147,8a214be3-fd2b-406a-b20f-a7857af6b317
2024-09-24,15:59:36,"200575,FDLE Alerts,FL Dept of Law Enforcement","Lagrange, IN",Florida Missing Child Alert for Shamar Windhom,Local Area Emergency,,NA,NA,Alert,Immediate,Extreme,Public,200575_FDLE_Alerts_FL_Dept_of_Law_Enforcement,200575,13f16131-9af1-42b6-8c30-6c2b628a300b
2024-09-24,16:01:00,NWS Cleveland OH,Coastal Gulf,Tornado Warning issued September 24 at 4:01PM EDT until September 24 at 4:45PM EDT by NWS Cleveland OH,Tornado Warning,,"TORCLE

The National Weather Service in Cleveland has issued a

* Tornado Warning for...
Ottawa County in northwestern Ohio...
Northwestern Sandusky County in northwestern Ohio...
Northeastern Wood County in northwestern Ohio...
Northeastern Lucas County in northwestern Ohio...

* Until 445 PM EDT.

* At 401 PM EDT, a severe thunderstorm capable of producing a tornado
was located over Woodville, or 12 miles northwest of Fremont,
moving northeast at 35 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* Locations impacted include...
Port Clinton, Put-In-Bay, Oregon, Northwood, Oak Harbor,
Gibsonburg, Genoa, Woodville, Elmore, Catawba Island, Walbridge,
Pemberville, Millbury, Luckey, Lindsey, Rocky Ridge, Clay Center,
Reno Beach, Williston, and Bono.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,3612a1e4-a14e-4f0f-a8c1-92c86d9aee6a
2024-09-24,16:26:00,NWS Northern Indiana,Inland Gulf,Tornado Warning issued September 24 at 4:26PM EDT until September 24 at 5:00PM EDT by NWS Northern Indiana,Tornado Warning,,"TORIWX

The National Weather Service in Northern Indiana has issued a

* Tornado Warning for...
Northwestern Noble County in northeastern Indiana...
South central Lagrange County in northeastern Indiana...

* Until 500 PM EDT.

* At 425 PM EDT, a confirmed tornado was located over Ligonier,
moving northeast at 20 mph.

HAZARD...Damaging tornado.

SOURCE...Weather spotters confirmed tornado.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* The tornado will be near...
Rome City around 445 PM EDT.

Other locations impacted by this tornadic thunderstorm include
Wolcottville, Woodruff, Eddy, Adams Lake, Cosperville, and Oliver
Lake.
","To repeat, a tornado is on the ground. TAKE COVER NOW! Move to a
basement or an interior room on the lowest floor of a sturdy
building. Avoid windows. If you are outdoors, in a mobile home, or in
a vehicle, move to the closest substantial shelter and protect
yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,9b806532-a7a5-428d-bc95-0d29c9a1344d
2024-09-24,16:47:00,NWS Wilmington OH,Coastal Franklin,Tornado Warning issued September 24 at 4:47PM EDT until September 24 at 5:15PM EDT by NWS Wilmington OH,Tornado Warning,,"TORILN

The National Weather Service in Wilmington has issued a

* Tornado Warning for...
Northeastern Preble County in west central Ohio...

* Until 515 PM EDT.

* At 447 PM EDT, a severe thunderstorm capable of producing a tornado
was located over Eaton, moving northeast at 20 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* Locations impacted include...
Eaton, Lewisburg, West Alexandria, and Oklahoma.

This includes I-70 in Ohio between mile markers 13 and 16.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.

To report severe weather, go to our website at weather.gov/iln and
submit your report via social media, when you can do so safely.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,a20190c5-0da8-4f09-838a-1fa2ae442d62
2024-09-24,16:58:00,NWS Northern Indiana,Coastal Franklin,Tornado Warning issued September 24 at 4:58PM EDT until September 24 at 5:30PM EDT by NWS Northern Indiana,Tornado Warning,,"TORIWX

The National Weather Service in Northern Indiana has issued a

* Tornado Warning for...
Eastern Lagrange County in northeastern Indiana...

* Until 530 PM EDT.

* At 458 PM EDT, a severe thunderstorm capable of producing a
tornado was located near Lagrange, moving northeast at 20 mph.
This storm has a history of producing brief tornadoes.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
Lagrange around 505 PM EDT.

Other locations impacted by this tornadic thunderstorm include
Brighton, Mongo, and Plato.

This includes Interstate 80 in Indiana between mile markers 125 and
132.
","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.",Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,71dca09f-ccc1-409e-a345-b2e1bb580203
2024-09-24,17:07:00,NWS Tallahassee FL,Inland Franklin,Hurricane Warning issued September 24 at 5:07PM EDT by NWS Tallahassee FL,Hurricane Warning,,"A Hurricane Warning means hurricane-force winds are expected
somewhere within this area within the next 36 hours

* LOCATIONS AFFECTED
- Port Saint Joe
- Cape San Blas

* WIND
- LATEST LOCAL FORECAST: Equivalent Tropical Storm force wind
- Peak Wind Forecast: 35-45 mph with gusts to 60 mph
- Window for Tropical Storm force winds: Thursday afternoon
until early Friday morning

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Potential for wind 74
to 110 mph
- The wind threat has remained nearly steady from the
previous assessment.
- PLAN: Plan for life-threatening wind of equivalent CAT 1 or
2 hurricane force.
- PREPARE: Efforts to protect life and property should now be
rigorously underway. Prepare for considerable wind damage.
- ACT: Act now to complete preparations before the wind
becomes hazardous.

- POTENTIAL IMPACTS: Extensive
- Considerable roof damage to sturdy buildings, with some
having window, door, and garage door failures leading to
structural damage. Mobile homes severely damaged, with some
destroyed. Damage accentuated by airborne projectiles.
Locations may be uninhabitable for weeks.
- Many large trees snapped or uprooted along with fences and
roadway signs blown over.
- Some roads impassable from large debris, and more within
urban or heavily wooded places. Several bridges, causeways,
and access routes impassable.
- Large areas with power and communications outages.

* STORM SURGE
- LATEST LOCAL FORECAST: Localized storm surge possible
- Peak Storm Surge Inundation: The potential for 1-3 feet
above ground somewhere within surge prone areas
- Window of concern: early Thursday morning until Friday
evening

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Potential for storm
surge flooding greater than 1 foot above ground
- The storm surge threat has remained nearly steady from the
previous assessment.
- PLAN: Plan for storm surge flooding greater than 1 foot
above ground.
- PREPARE: Complete preparations for storm surge flooding,
especially in low-lying vulnerable areas, before conditions
become unsafe.
- ACT: Leave immediately if evacuation orders are given for
your area.

- POTENTIAL IMPACTS: Limited
- Localized inundation with storm surge flooding mainly along
immediate shorelines and in low-lying spots, or in areas
farther inland near where higher surge waters move ashore.
- Sections of near-shore roads and parking lots become
overspread with surge water. Driving conditions dangerous
in places where surge water covers the road.
- Moderate beach erosion. Heavy surf also breaching dunes,
mainly in usually vulnerable locations. Strong rip currents.
- Minor to locally moderate damage to marinas, docks,
boardwalks, and piers. A few small craft broken away from
moorings.

* FLOODING RAIN
- LATEST LOCAL FORECAST: Flood Watch is in effect
- Peak Rainfall Amounts: Additional 8-12 inches, with locally
higher amounts

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Potential for major
flooding rain
- The flooding rain threat has remained nearly steady from
the previous assessment.
- PLAN: Emergency plans should include the potential for
major flooding from heavy rain. Evacuations and rescues are
likely.
- PREPARE: Strongly consider protective actions, especially
if you are in an area vulnerable to flooding.
- ACT: Heed any flood watches and warnings. Failure to take
action will likely result in serious injury or loss of life.

- POTENTIAL IMPACTS: Extensive
- Major rainfall flooding may prompt many evacuations and
rescues.
- Rivers and tributaries may rapidly overflow their banks in
multiple places. Small streams, creeks, and ditches may
become dangerous rivers. Flood control systems and barriers
may become stressed.
- Flood waters can enter many structures within multiple
communities, some structures becoming uninhabitable or
washed away. Many places where flood waters may cover
escape routes. Streets and parking lots become rivers of
moving water with underpasses submerged. Driving conditions
become dangerous. Many road and bridge closures with some
weakened or washed out.

* TORNADO
- LATEST LOCAL FORECAST:
- Situation is unfavorable for tornadoes

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Tornadoes not expected
- The tornado threat has remained nearly steady from the
previous assessment.
- PLAN: Tornadoes are not expected. Showers and thunderstorms
with gusty winds may still occur.
- PREPARE: Little to no preparations needed to protect
against tornadoes at this time. Keep informed of the latest
tornado situation.
- ACT: Listen for changes in the forecast.

- POTENTIAL IMPACTS: Little to None
- Little to no potential impacts from tornadoes.

* FOR MORE INFORMATION:
- Local Weather Conditions and Forecasts: NWS Tallahassee
- https://www.weather.gov/tallahassee
- Information from the Florida Division of Emergency Management
- https://www.floridadisaster.org
- Information from Gulf County Emergency Management
- http://gulfcounty-fl.gov/county_government/emergency_management
",NA,Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,d625fe4b-dc72-4864-a340-00b689f0348a
2024-09-24,17:07:00,NWS Tallahassee FL,Coastal Wakulla,Hurricane Warning issued September 24 at 5:07PM EDT by NWS Tallahassee FL,Hurricane Warning,,"A Hurricane Warning means hurricane-force winds are expected
somewhere within this area within the next 36 hours

* LOCATIONS AFFECTED
- Wewahitchka

* WIND
- LATEST LOCAL FORECAST: Tropical storm force winds remain
possible
- Peak Wind Forecast: 20-30 mph with gusts to 40 mph

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Potential for wind 74
to 110 mph
- The wind threat has remained nearly steady from the
previous assessment.
- PLAN: Plan for life-threatening wind of equivalent CAT 1 or
2 hurricane force.
- PREPARE: Efforts to protect life and property should now be
rigorously underway. Prepare for considerable wind damage.
- ACT: Act now to complete preparations before the wind
becomes hazardous.

- POTENTIAL IMPACTS: Extensive
- Considerable roof damage to sturdy buildings, with some
having window, door, and garage door failures leading to
structural damage. Mobile homes severely damaged, with some
destroyed. Damage accentuated by airborne projectiles.
Locations may be uninhabitable for weeks.
- Many large trees snapped or uprooted along with fences and
roadway signs blown over.
- Some roads impassable from large debris, and more within
urban or heavily wooded places. Several bridges, causeways,
and access routes impassable.
- Large areas with power and communications outages.

* STORM SURGE
- No storm surge inundation forecast

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Little to no storm
surge flooding
- The storm surge threat has remained nearly steady from the
previous assessment.
- PLAN: There is little to no threat of storm surge flooding.
Rough surf, coastal erosion, and life-threatening rip
currents are possible.
- PREPARE: Little to no preparations for storm surge flooding
are needed.
- ACT: Follow the instructions of local officials. Monitor
forecasts.

- POTENTIAL IMPACTS: Little to None
- Little to no potential impacts from storm surge flooding.

* FLOODING RAIN
- LATEST LOCAL FORECAST: Flood Watch is in effect
- Peak Rainfall Amounts: Additional 8-12 inches, with locally
higher amounts

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Potential for major
flooding rain
- The flooding rain threat has remained nearly steady from
the previous assessment.
- PLAN: Emergency plans should include the potential for
major flooding from heavy rain. Evacuations and rescues are
likely.
- PREPARE: Strongly consider protective actions, especially
if you are in an area vulnerable to flooding.
- ACT: Heed any flood watches and warnings. Failure to take
action will likely result in serious injury or loss of life.

- POTENTIAL IMPACTS: Extensive
- Major rainfall flooding may prompt many evacuations and
rescues.
- Rivers and tributaries may rapidly overflow their banks in
multiple places. Small streams, creeks, and ditches may
become dangerous rivers. Flood control systems and barriers
may become stressed.
- Flood waters can enter many structures within multiple
communities, some structures becoming uninhabitable or
washed away. Many places where flood waters may cover
escape routes. Streets and parking lots become rivers of
moving water with underpasses submerged. Driving conditions
become dangerous. Many road and bridge closures with some
weakened or washed out.

* TORNADO
- LATEST LOCAL FORECAST:
- Situation is unfavorable for tornadoes

- THREAT TO LIFE AND PROPERTY THAT INCLUDES TYPICAL FORECAST
UNCERTAINTY IN TRACK, SIZE AND INTENSITY: Tornadoes not expected
- The tornado threat has remained nearly steady from the
previous assessment.
- PLAN: Tornadoes are not expected. Showers and thunderstorms
with gusty winds may still occur.
- PREPARE: Little to no preparations needed to protect
against tornadoes at this time. Keep informed of the latest
tornado situation.
- ACT: Listen for changes in the forecast.

- POTENTIAL IMPACTS: Little to None
- Little to no potential impacts from tornadoes.

* FOR MORE INFORMATION:
- Local Weather Conditions and Forecasts: NWS Tallahassee
- https://www.weather.gov/tallahassee
- Information from the Florida Division of Emergency Management
- https://www.floridadisaster.org
- Information from Gulf County Emergency Management
- http://gulfcounty-fl.gov/county_government/emergency_management
",NA,Alert,Immediate,Extreme,Public,w-nws.webmaster@noaa.gov,200032,28ab072a-8995-4603-9ddd-d8b5439fbae0
